word,part_of_speech,definition,example,synonyms
appropriate,"a, v","suitable for a particular person or place or condition etc; take possession of by force, as after an invasion; give or assign a resource to a particular person or cause",The army seized the town; a funeral conducted the appropriate solemnity; The militia captured the castle; I will earmark this money for your research; it seems that an apology is appropriate; a book not appropriate for children; the invaders seized the land and property of the inhabitants; She sets aside time for meditation every day,"allow, capture, conquer, earmark, reserve, seize, set aside"
appurtenant,s,furnishing added support,The mind and emotions are auxiliary to each other; an adjuvant discipline to forms of mysticism; an ancillary pump,"accessory, adjunct, adjuvant, ancillary, auxiliary"
arcane,s,requiring secret or mysterious knowledge,the arcane science of dowsing,
arch,"n, s, v",a passageway under a curved masonry construction; (used of behavior or attitude) characteristic of those who treat others with condescension; naughtily or annoyingly playful; a curved shape in the vertical plane that spans an opening; (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it; expert in skulduggery; form an arch or curve; a curved bony structure supporting or enclosing organs (especially the inner sides of the feet),her back arches; teasing and worrying with impish laughter; an arch criminal; they built a triumphal arch to memorialize their victory; a wicked prank; her hips curve nicely,"arc, archway, condescending, curve, impish, implike, mischievous, patronising, patronizing, pixilated, prankish, puckish, wicked"
arrant,s,without qualification; used informally as (often pejorative) intensifiers,a consummate fool; an arrant fool; the unadulterated truth; a complete coward; gross negligence; utter nonsense; stark staring mad; pure folly; what a sodding mess; a thoroughgoing villain; a perfect idiot; a double-dyed villain,"complete, consummate, double-dyed, everlasting, gross, perfect, pure, sodding, staring, stark, thoroughgoing, unadulterated, utter"
arrogate,v,demand as being one's due or property; assert one's right or title to; seize and take control without authority and possibly with force; take as one's right or possession; make undue claims to having,He claimed his suitcases at the airline counter; he usurped my rights; Mr. Smith claims special tax exemptions because he is a foreign resident; She seized control of the throne after her husband died; He assumed to himself the right to fill all positions in the town,"assign, assume, claim, lay claim, seize, take over, usurp"
artful,a,marked by skill in achieving a desired end especially with cunning or craft; not straightforward or candid; giving a false appearance of frankness; - David Cannadine,"an artful choice of metaphors; a disingenuous excuse; the artful dodger; an ambitious, disingenuous, philistine, and hypocritical operator, who...exemplified...the most disagreeable traits of his time",disingenuous
artifice,n,a deceptive maneuver (especially to avoid capture),,ruse
artless,"s, a",simple and natural; without cunning or deceit; showing lack of art; (of persons) lacking art or knowledge; characterized by an inability to mask your feelings; not devious,an artless translation; an ingenuous admission of responsibility; an artless manner; artless elegance,"ingenuous, uncultivated, uncultured"
artlessness,n,the quality of innocent naivete; ingenuousness by virtue of being free from artful deceit,,"ingenuousness, innocence, naturalness"
