word,part_of_speech,definition,example,synonyms
doggedly,r,with obstinate determination,he pursued her doggedly,tenaciously
doggedness,n,persistent determination,,"perseverance, persistence, persistency, pertinacity, tenaciousness, tenacity"
doleful,s,filled with or evoking sadness,stared with mournful eyes; the child's doleful expression; mournful news,mournful
dolorous,s,showing sorrow,,"dolourous, lachrymose, tearful, weeping"
doughty,,,,
dramaturgy,n,the art of writing and producing plays,,"dramatic art, dramatics, theater, theatre"
droll,s,comical in an odd or whimsical manner,a droll little man with a quiet tongue-in-cheek kind of humor,
dulcet,s,extremely pleasant in a gentle way; pleasing to the ear,the dulcet tones of the cello; the most dulcet swimming on the most beautiful and remote beaches,"honeyed, mellifluous, mellisonant, sweet"
dupe,"n, v",a person who is tricked or swindled; fool or hoax,The immigrant was duped because he trusted everyone; You can't fool me!,"befool, cod, fool, gull, put on, put one across, put one over, slang, take in, victim"
economical,"s, a","using the minimum of time or resources necessary for effectiveness; avoiding waste; of or relating to an economy, the system of production and management of material wealth","a frugal farmer; `scotch' is used only informally; an economical use of her time; aspects of social, political, and economical life; an economical meal; a sparing father and a spending son; thrifty because they remember the great Depression; an economical shopper; sparing in their use of heat and light; an economic use of home heating oil; stinting in bestowing gifts; economic growth; a frugal lunch; a modern economical heating system","economic, frugal, scotch, sparing, stinting"
edacious,s,devouring or craving food in great quantities,ravenous as wolves; a rapacious appetite; edacious vultures; voracious sharks,"esurient, rapacious, ravening, ravenous, voracious, wolfish"
eddies,"n, v","founder of Christian Science in 1866 (1821-1910); flow in a circular current, of liquids; a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself",,"Eddy, Mary Baker Eddy, Mary Morse Baker Eddy, eddy, purl, swirl, twist, whirl, whirlpool"
edifying,"a, v",make understand; enlightening or uplifting so as to encourage intellectual or moral improvement,the paintings in the church served an edifying purpose even for those who could not read; Can you enlighten me--I don't understand this proposal,"edify, enlighten, enlightening"
effervescent,"s, a",used of wines and waters; charged naturally or artificially with carbon dioxide; marked by high spirits or excitement; (of a liquid) giving off bubbles,his fertile effervescent mind; sparkling wines; scintillating personality; sparkling water; a row of sparkly cheerleaders,"bubbling, frothy, scintillating, sparkling, sparkly"
effete,s,marked by excessive self-indulgence and moral decay,a group of effete self-professed intellectuals; a decadent life of excessive money and no sense of responsibility,decadent
effrontery,n,audacious (even arrogant) behavior that you have no right to,he despised them for their presumptuousness,"assumption, presumption, presumptuousness"
effusive,s,extravagantly demonstrative; uttered with unrestrained enthusiasm,write unrestrained and gushy poetry; insincere and effusive demonstrations of sentimental friendship; a novel told in burbly panting tones; a large gushing female,"burbling, burbly, gushing, gushy"
eldritch,s,suggesting the operation of supernatural influences; ; ; - John Galsworthy; ; - Henry Kingsley,an eldritch screech; an unearthly light; stumps...had uncanny shapes as of monstrous creatures; the three weird sisters; he could hear the unearthly scream of some curlew piercing the din,"uncanny, unearthly, weird"
elegiac,"s, a",resembling or characteristic of or appropriate to an elegy; expressing sorrow often for something past,an elegiac poem on a friend's death; an elegiac lament for youthful ideals,
emissary,n,someone sent on a mission to represent the interests of someone else,,envoy
emollient,"n, s",toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin; having a softening or soothing effect especially to the skin,,"cream, demulcent, ointment, salving, softening"
emotive,s,characterized by emotion,,"affectional, affective"
empiricism,n,medical practice and advice based on observation and experience in ignorance of scientific findings; (philosophy) the doctrine that knowledge derives from experience; the application of empirical methods in any art or science,,"empiricist philosophy, quackery, sensationalism"
encumber,v,hold back,,"constrain, cumber, restrain"
endemic,"n, s, a",originating where it is found; of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality; native to or confined to a certain region; a plant that is native to a certain limited area; a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location,endemic folkways; the autochthonal fauna of Australia includes the kangaroo; autochthonous rocks and people and folktales; it is an endemic found only this island; the Ainu are indigenous to the northernmost islands of Japan; the islands have a number of interesting endemic species; diseases endemic to the tropics; food shortages and starvation are endemic in certain parts of the world; endemic malaria,"autochthonal, autochthonic, autochthonous, endemic disease, endemical, indigenous"
enervate,v,weaken mentally or morally; disturb the composure of,,"faze, unnerve, unsettle"
enjoin,v,issue an injunction; give instructions to or direct somebody to do something with authority,I said to him to go home; The mother told the child to get dressed; She ordered him to do the shopping,"order, say, tell"
enmity,n,a state of deep-seated ill-will; the feeling of a hostile person,he could no longer contain his hostility,"antagonism, hostility, ill will"
enormity,n,the quality of being outrageous; vastness of size or extent; the quality of extreme wickedness; an act of extreme wickedness,universities recognized the enormity of their task; in careful usage the noun enormity is not used to express the idea of great size,outrageousness
ensorcelled,s,under a spell,,bewitched
envince,,,,
epigram,n,a witty saying,,quip
equipoise,n,equality of distribution,,"balance, counterbalance, equilibrium"
ergo,r,(used as a sentence connector) therefore or consequently,,
erstwhile,"s, r",belonging to some prior time; at a previous time,she was a dancer once; at one time he loved her; the once capital of the state; her erstwhile writing; erstwhile friend; her quondam lover; our former glory,"at one time, erst, former, formerly, old, once, one-time, onetime, quondam, sometime"
espy,v,catch sight of,,"descry, spot, spy"
ethereal,"s, a",characterized by lightness and insubstantiality; as impalpable or intangible as air; - Thomas Carlyle; characterized by unusual lightness and delicacy; of heaven or the spirit; of or containing or dissolved in ether,figures light and aeriform come unlooked for and melt away; this smallest and most ethereal of birds; ethereal melodies; an airy apparition; gossamer shading through his playing; physical rather than ethereal forms; aerial fancies; celestial peace; ethereal solution; the supernal happiness of a quiet death,"aerial, aeriform, aery, airy, celestial, gossamer, supernal"
etiolated,"s, v",bleach and alter the natural development of (a green plant) by excluding sunlight; make weak by stunting the growth or development of; make pale or sickly; (especially of plants) developed without chlorophyll by being deprived of light,etiolated celery; alcohol etiolates your skin,"blanched, etiolate"
evanescent,s,tending to vanish like vapor,evanescent beauty,
evenhanded,s,without partiality,evenhanded justice,
evince,v,give expression to,She showed her disappointment,"express, show"
excise,"n, v",levy an excise tax on; remove by erasing or crossing out or as if by drawing a line; remove by cutting; a tax that is measured by the amount of business done (not on property or income from real estate),The surgeon excised the tumor; Please strike this remark from the record; scratch that remark,"excise tax, expunge, scratch, strike"
excoriate,v,express strong disapproval of; tear or wear off the skin or make sore by abrading,These ideas were reprobated; This leash chafes the dog's neck; We condemn the racism in South Africa,"chafe, condemn, decry, objurgate, reprobate"
execrate,v,curse or declare to be evil or anathema or threaten with divine punishment; find repugnant,She abhors cats; I loathe that man,"abhor, abominate, accurse, anathematise, anathematize, anathemise, anathemize, comminate, loathe"
exegesis,n,an explanation or critical interpretation (especially of the Bible),,
exhort,v,spur on or encourage especially by cheers and shouts; force or impel in an indicated direction,I urged him to finish his studies; The crowd cheered the demonstrating strikers,"barrack, cheer, inspire, pep up, press, root on, urge, urge on"
exiguity,n,the quality of being meager; -George Eliot,an exiguity of cloth that would only allow of miniature capes,"leanness, meagerness, meagreness, poorness, scantiness, scantness"
expansive,"s, a",able or tending to expand or characterized by expansion; marked by exaggerated feelings of euphoria and delusions of grandeur; of behavior that is impressive and ambitious in scale or scope; friendly and open and willing to talk,an expansive lifestyle; heroic undertakings; wine made the guest expansive; the expansive force of fire; collecting on a grand scale; Expansive materials; in the grand manner,"grand, heroic, talkative"
expatriate,"n, v",a person who is voluntarily absent from home or country; move away from one's native country and adopt a new residence abroad; expel from a country,American expatriates; The poet was exiled because he signed a letter protesting the government's actions,"deport, exile, expat"
expiate,v,make amends for,expiate one's sins,"aby, abye, atone"
explicable,a,capable of being explicated or accounted for,explicable behavior,
explicate,v,"make plain and comprehensible; elaborate, as of theories and hypotheses",He explained the laws of physics to his students; Could you develop the ideas in your thesis,"develop, explain, formulate"
exposition,n,an account that sets forth the meaning or intent of a writing or discourse; (music) the section of a movement (especially in sonata form) where the major musical themes first occur; a collection of things (goods or works of art etc.) for public display; a systematic interpretation or explanation (usually written) of a specific topic,we would have understood the play better if there had been some initial exposition of the background,"exhibition, expo, expounding"
expound,v,"add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing; state",She elaborated on the main ideas in her dissertation; set forth one's reasons,"dilate, elaborate, enlarge, expand, expatiate, exposit, flesh out, lucubrate, set forth"
expunge,v,remove by erasing or crossing out or as if by drawing a line,Please strike this remark from the record; scratch that remark,"excise, scratch, strike"
expurgate,v,edit by omitting or modifying parts considered indelicate,bowdlerize a novel,"bowdlerise, bowdlerize, castrate, shorten"
extirpate,v,"surgically remove (an organ); destroy completely, as if down to the roots; pull up by or as if by the roots",root out corruption; the vestiges of political democracy were soon uprooted; uproot the vine that has spread all over the garden,"deracinate, eradicate, exterminate, root out, uproot"
facetious,s,cleverly amusing in tone,tongue-in-cheek advice; facetious remarks; a bantering tone,"bantering, tongue-in-cheek"
factious,s,dissenting (especially dissenting with the majority opinion),,"dissentious, divisive"
factitious,s,not produced by natural forces,brokers created a factitious demand for stocks,
fastidious,a,giving careful attention to detail; hard to please; excessively concerned with cleanliness; having complicated nutritional requirements; especially growing only in special artificial cultures,fastidious about personal cleanliness; a fastidious and incisive intellect; fastidious microorganisms; certain highly specialized xerophytes are extremely exacting in their requirements,exacting
feckless,s,not fit to assume responsibility; generally incompetent and ineffectual,inept handling of the account; feckless attempts to repair the plumbing,inept
feckless,s,not fit to assume responsibility; generally incompetent and ineffectual,inept handling of the account; feckless attempts to repair the plumbing,inept
fecund,s,capable of producing offspring or vegetation; intellectually productive,a prolific writer; a fecund imagination,"fertile, prolific"
feint,"n, v",any distracting or deceptive maneuver (as a mock attack); deceive by a mock action,The midfielder feinted to shoot,
fell,"n, s, v","move downward and lower, but not necessarily all the way; move in a specified direction; decrease in size, extent, or range; the act of felling something (as a tree); yield to temptation or sin; begin vigorously; slope downward; descend in free fall under the influence of gravity; lose one's chastity; come as if by falling; fall from clouds; fall or flow in a certain way; seam made by turning under or folding together and stitching the seamed materials to avoid rough edges; be inherited by; assume a disappointed or sad expression; be born, used chiefly of lambs; fall to somebody by assignment or lot; drop oneself to a lower or less erect position; come into the possession of; die, as in battle or in a hunt; suffer defeat, failure, or ruin; come out; issue; touch or seem as if touching visually or audibly; come under, be classified or included; be captured; to be given by assignment or distribution; go as if by falling; pass away rapidly; the dressed skin of an animal (especially a large animal); lose an upright position suddenly; (of persons or their actions) able or disposed to inflict pain or suffering; cause to fall by or as if by delivering a blow; to be given by right or inheritance; sew a seam by folding the edges; be cast down; lose office or power; occur at a specified time or place; be due; pass suddenly and passively into a state of body or mind","The amount of homework decreased towards the end of the semester; fall into a strange way of thinking; Lightning struck down the hikers; The vase fell over and the water spilled onto the table; Silence fell; The hills around here fall towards the ocean; The lambs fell in the afternoon; rain, snow and sleet were falling; The prisoners fell to work right away; his voice fell to a whisper; A strange sound struck my ears; Time fleeing beneath him; The line of men fall forward; cruel tortures; a fallen woman; Light fell on her face; Stalin's roughshod treatment of the kulaks; Several deer have fallen to the same gun; The branch fell from the tree; Christmas falls on a Monday this year; The house accrued to the oldest son; fall into a category; Grief fell from our hearts; Night fell; a barbarous crime; her weight fell to under a hundred pounds; The cities fell to the enemy; The curtain fell on the diva; fall into a trap; The land returned to the family; The unfortunate hiker fell into a crevasse; The sun shone on the fields; payments fall on the 1st of the month; Her face fell when she heard that she would be laid off; The onus fell on us; Her long black hair flowed down her back; his eyes fell; The task fell to me; The estate fell to my sister; Many soldiers fell at Verdun; The cabin pressure fell dramatically; The estate fell to the oldest daughter; Her hair fell across her forehead; his crest fell; strike down a tree; Fall in love; The pressure to succeed fell on the youngest student; fall asleep; Vesuvius precipitated its fiery, destructive rage on Herculaneum; brutal beatings; The temperature is going down; Adam and Eve fell; a savage slap; She fell back in her chair; She fell ill; He fell to his knees; This comes under a new heading; We must stand or fall; They fell out of favor; The barometer is falling; The shooting victim fell dead; The accent falls on the first syllable; The government fell overnight; The estate devolved to an heir that everybody had assumed to be dead; This dress hangs well; she fell to pieces after she lost her work; Time flies like an arrow; Her hand went up and then fell again; The light struck the golden necklace; The most difficult task fell on the youngest member of the team; fall by the wayside; The Qing Dynasty fell with Sun Yat-sen; It fell to me to notify the parents of the victims; fall prey to an imposter; vicious kicks; silly phrases fell from her mouth","accrue, barbarous, brutal, come, come down, cruel, cut down, decrease, descend, devolve, diminish, drop, fall, fall down, felled seam, flow, fly, go down, hang, hide, lessen, light, pass, precipitate, return, roughshod, savage, settle, shine, strike, strike down, vanish, vicious"
ferret,"n, v",search and discover through persistent investigation; domesticated albino variety of the European polecat bred for hunting rats and rabbits; hound or harry relentlessly; hunt with ferrets; musteline mammal of prairie regions of United States; nearly extinct,She ferreted out the truth,"Mustela nigripes, black-footed ferret, ferret out"
festoon,"n, v",an embellishment consisting of a decorative representation of a string of flowers suspended between two points; used on pottery or in architectural work; decorate with strings of flowers; a curtain of fabric draped and bound at intervals to form graceful curves; flower chains suspended in curves between points as a decoration,The public buildings were festooned for the holiday,festoonery
fillip,n,anything that tends to arouse,his approval was an added fillip,bonus
finagle,v,achieve something by means of trickery or devious methods,,"manage, wangle"
fleece,"n, v",rip off; ask an unreasonable price; tanned skin of a sheep with the fleece left on; used for clothing; the wool of a sheep or similar animal; outer coat of especially sheep and yaks; shear the wool from; a soft bulky fabric with deep pile; used chiefly for clothing,shear sheep,"gazump, hook, overcharge, pluck, plume, rob, shear, sheepskin, soak, surcharge, wool"
flexible,"s, a",able to flex; able to bend easily; bending and snapping back readily without breaking; capable of being changed; making or willing to make concessions; able to adjust readily to different conditions,a flexible personality; slim flexible birches; an adaptable person; flexible schedules; an elastic clause in a contract; loneliness tore through him...whenever he thought of...even the compromising Louis du Tillet,"compromising, conciliatory, elastic, flexile, pliable, pliant, whippy"
flippant,s,showing inappropriate levity,,light-minded
flotilla,n,a United States Navy fleet consisting of two or more squadrons of small warships; a fleet of small craft,,
flotsam,n,the floating wreckage of a ship,,jetsam
flounder,"n, v",flesh of any of various American and European flatfish; behave awkwardly; have difficulties; any of various European and non-European marine flatfish; walk with great difficulty,He staggered along in the heavy snow; She is floundering in college,stagger
flout,v,treat with contemptuous disregard; laugh at with contempt and derision,flout the rules; The crowd jeered at the speaker,"barrack, gibe, jeer, scoff"
flush,"n, s, r, v","sudden brief sensation of heat (associated with menopause and some mental disorders); turn red, as if in embarrassment or shame; glow or cause to glow with warm color or light; flow freely; rinse, clean, or empty with a liquid; of a surface exactly even with an adjoining one, forming the same plane; the swift release of a store of affective force; cause to flow or flood with or as if with water; the period of greatest prosperity or productivity; a poker hand with all 5 cards in the same suit; squarely or solidly; make level or straight; irrigate with water from a sluice; in the same plane; a rosy color (especially in the cheeks) taken as a sign of good health; having an abundant supply of money or possessions of value; sudden reddening of the face (as from embarrassment or guilt or shame or modesty); a sudden rapid flow (as of water)",set it flush with the top of the table; moneyed aristocrats; he heard the flush of a toilet; purge the old gas tank; he got a quick rush from injecting heroin; she attacked him with an outpouring of words; he does it for kicks; flush the wound with antibiotics; a speculator flush with cash; an affluent banker; sluice the earth; the sky flushed with rosy splendor; what a boot!; The girl blushed when a young man whistled as she walked by; there was a little gush of blood; they got a great bang out of it; flush the meadows; level the ground; wealthy corporations; a door flush with the wall; not merely rich but loaded; The garbage flushed down the river; the bottom of the window is flush with the floor; hit him flush in the face,"affluent, bang, bloom, blossom, blush, boot, charge, crimson, efflorescence, even, even out, flower, gush, heyday, hot flash, kick, level, loaded, moneyed, outpouring, peak, prime, purge, redden, rosiness, rush, scour, sluice, thrill, wealthy"
flux,"n, v",move or progress freely as if in a stream; the rate of flow of energy or particles across a given surface; the lines of force surrounding a permanent magnet or a moving charged particle; a substance added to molten metals to bond with impurities that can then be readily removed; mix together different elements; a flow or discharge; excessive discharge of liquid from a cavity or organ (as in watery diarrhea); in constant change; become liquid or fluid when heated; (physics) the number of changes in energy flow across a given surface per unit area; a state of uncertainty about what should be done (usually following some important event) preceding the establishment of a new direction of action,the newness and flux of the computer industry; The crowd flowed out of the stadium; his opinions are in flux; the frozen fat liquefied; the flux following the death of the emperor; The colors blend well,"blend, coalesce, combine, commingle, conflate, flow, flux density, fluxion, fuse, immix, liquefy, liquify, magnetic field, magnetic flux, meld, merge, mix, state of flux"
foible,n,the weaker part of a sword's blade from the forte to the tip; a behavioral attribute that is distinctive and peculiar to an individual,,"idiosyncrasy, mannerism"
foolhardy,s,marked by defiant disregard for danger or consequences; ; -Macaulay,foolhardy enough to try to seize the gun from the hijacker; a reckless driver; became the fiercest and most reckless of partisans; a rash attempt to climb Mount Everest,"heady, rash, reckless"
forlorn,s,marked by or showing hopelessness,the last forlorn attempt; a forlorn cause,
forswear,v,"formally reject or disavow a formerly held belief, usually under pressure",She abjured her beliefs; He retracted his earlier statements about his religion,"abjure, recant, resile, retract"
forthcoming,s,of the relatively near future; available when required or as promised; at ease in talking to others,federal funds were not forthcoming; this coming Thursday; the approaching election; the forthcoming holidays; the upcoming spring fashions,"approaching, coming, extroverted, outgoing, upcoming"
fortuitous,s,occurring by happy chance; having no cause or apparent cause,fortuitous encounters--strange accidents of fortune; we cannot regard artistic invention as...uncaused and unrelated to the times; profits were enhanced by a fortuitous drop in the cost of raw materials; a causeless miracle,"causeless, uncaused"
fractious,s,easily irritated or annoyed; unpredictably difficult in operation; likely to be troublesome; stubbornly resistant to authority or control,a fractious animal that would not submit to the harness; a refractory child; rockets were much too fractious to be tested near thickly populated areas; fractious components of a communication system; not the least nettlesome of his countrymen; an incorrigibly fractious young man,"cranky, irritable, nettlesome, peckish, peevish, pettish, petulant, recalcitrant, refractory, scratchy, techy, testy, tetchy"
froward,s,habitually disposed to disobedience and opposition,,"headstrong, self-willed, wilful, willful"
frustrate,v,"hinder or prevent (the efforts, plans, or desires) of; treat cruelly",foil your opponent; The children tormented the stuttering teacher; What ultimately frustrated every challenger was Ruth's amazing September surge,"baffle, bedevil, bilk, cross, crucify, dun, foil, queer, rag, scotch, spoil, thwart, torment"
fulminate,"n, v",come on suddenly and intensely; criticize severely; a salt or ester of fulminic acid; cause to explode violently and with loud noise,the disease fulminated; She railed against the bad social policies; He fulminated against the Republicans' plan to cut Medicare,rail
fulsome,s,unpleasantly and excessively suave or ingratiating in manner or speech,buttery praise; the unctuous Uriah Heep; an oily sycophantic press agent; oleaginous hypocrisy; soapy compliments; gave him a fulsome introduction; smarmy self-importance,"buttery, oily, oleaginous, smarmy, soapy, unctuous"
funereal,s,suited to or suggestive of a grave or burial,funereal gloom; hollow sepulchral tones,sepulchral
furor,n,a sudden outburst (as of protest); an interest followed with exaggerated zeal,it was all the rage that season; he always follows the latest fads,"craze, cult, fad, furore, rage"
gall,"n, v",a feeling of deep and bitter anger and ill-will; the trait of being rude and impertinent; inclined to take liberties; irritate or vex; a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats; become or make sore by or as if by rubbing; abnormal swelling of plant tissue caused by insects or microorganisms or injury; a skin sore caused by chafing; an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle,It galls me that we lost the suit,"bile, bitterness, chafe, cheekiness, crust, freshness, fret, impertinence, impudence, insolence, irk, rancor, rancour, resentment, saddle sore"
gambit,n,a maneuver in a game or conversation; a chess move early in the game in which the player sacrifices minor pieces in order to obtain an advantageous position; an opening remark intended to secure an advantage for the speaker,,"ploy, stratagem"
gauche,s,lacking social polish,their excellent manners always made me feel gauche; too gauche to leave the room when the conversation became intimate,"graceless, unpolished"
genial,"s, a","of or relating to the chin or median part of the lower jaw; agreeable, conducive to comfort; diffusing warmth and friendliness",a cordial greeting; an affable smile; an amiable gathering; the genial sunshine; hot summer pavements are anything but kind to the feet; a genial host; a dry climate kind to asthmatics; cordial relations,"affable, amiable, cordial, kind, mental"
genteel,s,marked by refinement in taste and manners,cultivated speech; cultured Bostonians; a genteel old lady; cultured tastes; polite society,"civilised, civilized, cultivated, cultured, polite"
glut,"n, v",the quality of being so overabundant that prices fall; overeat or eat immodestly; make a pig of oneself; supply with an excess of,The kids binged on ice cream; Glut the country with cheap imports from the Orient; flood the market with tennis shoes; She stuffed herself at the dinner,"binge, englut, engorge, flood, gorge, gormandise, gormandize, gourmandize, ingurgitate, overeat, overgorge, overindulge, oversupply, pig out, satiate, scarf out, stuff, surfeit"
gnostic,"n, a",of or relating to Gnosticism; an advocate of Gnosticism; possessing intellectual or esoteric knowledge of spiritual things,Gnostic writings,
goad,"n, v","a verbalization that encourages you to attempt something; urge with or as if with a goad; stab or urge on as if with a pointed stick; goad or provoke,as by constant criticism; a pointed instrument that is used to prod into a state of motion; give heart or courage to",the ceaseless prodding got on his nerves; He needled her with his sarcastic remarks,"goading, needle, prick, prod, prodding, spur, spurring, urging"
gradation,n,the act of arranging in grades; relative position in a graded series; a degree of ablaut,always a step behind; keep in step with the fashions; subtle gradations in color,"grade, graduation, step"
graft,"n, v",(surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient; cause to grow together parts from different plants; place the organ of a donor into the body of a recipient; the practice of offering something (usually money) in order to gain an illicit advantage; the act of grafting something onto something else,graft the cherry tree branch onto the plum tree,"bribery, engraft, grafting, ingraft, transplant"
grouse,"n, v",popular game bird having a plump body and feathered legs and feet; complain; hunt grouse; flesh of any of various grouse of the family Tetraonidae; usually roasted; flesh too dry to broil,What was he hollering about?,"beef, bellyache, bitch, crab, gripe, holler, squawk"
grovel,v,show submission or fear,,"cower, crawl, creep, cringe, fawn"
guffaw,"n, v",laugh boisterously; a burst of deep loud hearty laughter,,"belly laugh, laugh loudly"
guile,n,shrewdness as demonstrated by being skilled in deception; the quality of being crafty; the use of tricks to deceive someone (usually to extract money from them),,"chicane, chicanery, craft, craftiness, cunning, deceitfulness, foxiness, shenanigan, slyness, trickery, wile, wiliness"
guileless,s,free of deceit,,transparent
gustatory,a,of or relating to gustation,,"gustative, gustatorial"
hackneyed,s,repeated too often; overfamiliar through overuse,the trite metaphor `hard as nails'; repeating threadbare jokes; bromidic sermons; parroting some timeworn axiom; his remarks were trite and commonplace; a stock answer; hackneyed phrases,"banal, commonplace, old-hat, shopworn, stock, threadbare, timeworn, tired, trite, well-worn"
hamstrung,v,make ineffective or powerless; cripple by cutting the hamstring,The teachers were hamstrung by the overly rigid schedules,hamstring
hankering,"n, v",desire strongly or persistently; a yearning for something or to do something,,"hanker, long, yearn, yen"
hapless,s,deserving or inciting pity; ; ; - Galsworthy,"pitiable homeless children; a pitiful fate; a wretched life; his poor distorted limbs; miserable victims of war; the shabby room struck her as extraordinarily pathetic; a hapless victim; Oh, you poor thing; piteous appeals for help","miserable, misfortunate, pathetic, piteous, pitiable, pitiful, poor, wretched"
hardscrabble,s,barely satisfying a lower standard,the sharecropper's hardscrabble life,
harried,"s, v","annoy continually or chronically; troubled persistently especially with petty annoyances; make a pillaging or destructive raid on (a place), as in wartimes",harassed working mothers; a harried expression; the vexed parents of an unruly teenager; This man harasses his female co-workers; He is known to harry his staff when he is overworked; her poor pestered father had to endure her constant interruptions,"annoyed, beset, chevvy, chevy, chivvy, chivy, harass, harassed, harry, hassle, molest, pestered, plague, provoke, ravage, vexed"
headlong,"s, r",at breakneck speed; excessively quick; in a hasty and foolhardy manner; with the head foremost,a headlong rush to sell; made a hasty exit; a headfirst plunge down the stairs; a headlong dive into the pool; he fell headlong in love with his cousin; burst headlong through the gate; the runner slid headlong into third base,"hasty, headfirst, precipitately, rashly"
heady,s,extremely exciting as if by alcohol or a narcotic; marked by the exercise of good judgment or common sense in practical matters; marked by defiant disregard for danger or consequences; ; -Macaulay,foolhardy enough to try to seize the gun from the hijacker; a rash attempt to climb Mount Everest; a wise decision; became the fiercest and most reckless of partisans; judicious use of one's money; a reckless driver,"foolhardy, intoxicating, judicious, rash, reckless, wise"
hearken,v,listen; used mostly in the imperative,,"hark, harken"
hector,"n, v",be bossy towards; (Greek mythology) a mythical Trojan who was killed by Achilles during the Trojan War,Her big brother always bullied her when she was young,"ballyrag, boss around, browbeat, bully, bullyrag, push around, strong-arm"
hegemony,n,the dominance or leadership of one social group or nation over others,to say they have priority is not to say they have complete hegemony; the consolidation of the United States' hegemony over a new international economic system; the hegemony of a single member state is not incompatible with a genuine confederation,
heretofore,r,used in negative statement to describe a situation that has existed up to this point or up to the present time,the sun isn't up yet; So far he hasn't called,"as yet, hitherto, so far, thus far, til now, until now, up to now, yet"
hidebound,s,stubbornly conservative and narrow-minded,,traditionalist
histrionic,s,characteristic of acting or a stage performance; often affected,histrionic gestures; a theatrical pose; an attitude of melodramatic despair,melodramatic
hobble,"n, v",walk impeded by some physical limitation or injury; a shackle for the ankles or feet; hamper the action or progress of; strap the foreleg and hind leg together on each side (of a horse) in order to keep the legs on the same side moving in unison; the uneven manner of walking that results from an injured leg,The chairman was hobbled by the all-powerful dean; The old woman hobbles down to the store every day; hobble race horses,"fetter, gimp, hitch, hopple, limp"
homespun,"n, s",of textiles; having a rough surface; a rough loosely woven fabric originally made with yarn that was spun at home; characteristic of country life; made of cloth spun or woven in the home,a sweater knitted of nubbly homespun yarns; cracker-barrel philosophy; the air of homespun country boys; homespun garments; folksy humor; homespun linen,"cracker-barrel, folksy, nubbly, nubby, slubbed, tweedy"
hoodwink,v,influence by slyness; conceal one's true motives from especially by elaborately feigning good intentions so as to gain an end,He bamboozled his professors into thinking that he knew the subject well,"bamboozle, beguile, juggle, lead by the nose, play false, pull the wool over someone's eyes, snow"
humbuggery,,,,
husband,"n, v",a married man; a woman's partner in marriage; use cautiously and frugally,conserve your energy for the ascent to the summit; I try to economize my spare time,"conserve, economise, economize, hubby, married man"
ignominious,s,(used of conduct or character) deserving or bringing disgrace or shame; - Rachel Carson,an opprobrious monument to human greed; inglorious defeat; a shameful display of cowardice; an ignominious retreat; Man...has written one of his blackest records as a destroyer on the oceanic islands,"black, disgraceful, inglorious, opprobrious, shameful"
ignominy,n,a state of dishonor,one mistake brought shame to all his family; suffered the ignominy of being sent to prison,"disgrace, shame"
illustrious,s,having or conferring glory; widely known and esteemed,a notable historian; a famed scientist; an illustrious judge; an illustrious achievement; a famous actor; a celebrated musician; a renowned painter,"celebrated, famed, famous, far-famed, notable, noted, renowned"
immaterial,"s, a",not pertinent to the matter under consideration; (often followed by `to') lacking importance; not mattering one way or the other; of no importance or relevance especially to a law case; without material form or substance; not consisting of matter,an issue extraneous to the debate; ghosts and other immaterial entities; what others think is altogether indifferent to him; an incorporeal spirit; an objection that is immaterial after the fact; the price was immaterial; mentioned several impertinent facts before finally coming to the point; whether you choose to do it or not is a matter that is quite immaterial (or indifferent); immaterial apparitions,"extraneous, impertinent, incorporeal, indifferent, nonmaterial, orthogonal"
immure,v,"lock up or confine, in or as in a jail",The suspects were imprisoned without trial; the murderer was incarcerated for the rest of his life,"gaol, imprison, incarcerate, jail, jug, lag, put away, put behind bars, remand"
impasse,n,a situation in which no progress can be made or no advancement is possible; a street with only one way in or out,reached an impasse on the negotiations,"blind alley, cul de sac, dead end, dead-end street, deadlock, stalemate, standstill"
impassive,s,having or revealing little emotion or sensibility; not easily aroused or excited; ; - Nordhoff & Hall; -Virginia Woolf; deliberately impassive in manner,"he remained impassive, showing neither interest in nor concern for our plight; deadpan humor; a silent stolid creature who took it all as a matter of course; his face remained expressionless as the verdict was read; her face showed nothing but stolid indifference; her impassive remoteness","deadpan, expressionless, poker-faced, stolid, unexpressive"
impecunious,s,not having enough money to pay for necessities,,"hard up, in straitened circumstances, penniless, penurious, pinched"
imperious,s,having or showing arrogant superiority to and disdain of those one views as unworthy; ; ; ; ; ; ; - W.L.Shirer,his lordly manners were offensive; very sniffy about breaches of etiquette; haughty aristocrats; walked with a prideful swagger; some economists are disdainful of their colleagues in other social disciplines; his mother eyed my clothes with a supercilious air; a more swaggering mood than usual,"disdainful, haughty, lordly, overbearing, prideful, sniffy, supercilious, swaggering"
